date ,trim_monthly_chg,trim_ann_monthly_chg
6/1/2022,0.00720110134916951,9
7/1/2022,0.00426997279569519,5.2
8/1/2022,0.00603880811959567,7.5
9/1/2022,0.00571313935645068,7.1
10/1/2022,0.00413015621307933,5.1
11/1/2022,0.00353210424067574,4.3
12/1/2022,0.00494060700018428,6.1
1/1/2023,0.00566486402408839,7
2/1/2023,0.00470952344561582,5.8
3/1/2023,0.00227306327623156,2.8
4/1/2023,0.00330185569981589,4
5/1/2023,0.00227556106059201,2.8
6/1/2023,0.00222539946398581,2.7
7/1/2023,0.00211523927097801,2.6
