Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
08/17/2018,-0.582765461476984,-0.562182453418927,-0.674228534147064,-0.124482431917496,0.231538052295252,-0.544309701191762
08/24/2018,-0.587371130624187,-0.569495584054213,-0.685070400244753,-0.126378287623967,0.250120335018231,-0.54438714557787
08/31/2018,-0.590745429020457,-0.576944401930324,-0.692789484845132,-0.128381167787685,0.270748691706886,-0.543977575693307
09/07/2018,-0.593264174282331,-0.585571749854477,-0.697492431711302,-0.130439238299165,0.29247907734625,-0.543051319894223
09/14/2018,-0.594375735200293,-0.594259524100147,-0.698857670226994,-0.132051774731311,0.313903110343023,-0.541601120798604
09/21/2018,-0.59226140265102,-0.599250332126509,-0.696261487365675,-0.132108012745529,0.334120150645365,-0.539643787998766
09/28/2018,-0.586656976033073,-0.597354836230983,-0.688990905626076,-0.130092437048631,0.351491939882194,-0.537216610623943
10/05/2018,-0.576551496171293,-0.588673034277901,-0.676919598025921,-0.125664805911809,0.366463442741239,-0.534365687826697
10/12/2018,-0.562254401076546,-0.573590952131142,-0.660430344065306,-0.118535030121908,0.379079135088609,-0.53115442459722
10/19/2018,-0.546700847504744,-0.559048666391186,-0.642338062457705,-0.108865080204707,0.38969779894972,-0.527643765648105
10/26/2018,-0.530679601171804,-0.547711228397532,-0.623921191003446,-0.0964343129020158,0.398808934651164,-0.523892702955831
11/02/2018,-0.514896165484982,-0.540806016950406,-0.606670618726657,-0.0810569508934864,0.407109265655707,-0.519957848765555
11/09/2018,-0.499597466849137,-0.535538802879117,-0.590972465745765,-0.0631252749071646,0.414956505604579,-0.515893792339315
11/16/2018,-0.480300816435786,-0.522219779092254,-0.574998930089328,-0.0418155020245358,0.42311580778191,-0.511752767622532
11/23/2018,-0.457359146487072,-0.498979085989729,-0.558046276120424,-0.0189671767960398,0.430893475600539,-0.50758561279216
11/30/2018,-0.432766968546076,-0.468980979023544,-0.541002347651143,0.00332066882647297,0.436819873062195,-0.503442292368145
12/07/2018,-0.407931019742097,-0.4371919743118,-0.524637480554456,0.0229117850107622,0.439365820425891,-0.499372453250226
12/14/2018,-0.389594109240224,-0.413862952187169,-0.513038272434239,0.036867857234477,0.435712331490665,-0.495427792237063
12/21/2018,-0.3813764879474,-0.404065669025144,-0.508697554593618,0.0436305379979679,0.423861812037366,-0.491664139087989
12/28/2018,-0.385834209195639,-0.409117568162646,-0.512519315623917,0.0415913550536448,0.403122270885936,-0.48814115079639
01/04/2019,-0.402352291895525,-0.424963568961718,-0.525365093109806,0.0318166903305515,0.374496474088643,-0.484921947788777
01/11/2019,-0.42719708351954,-0.440936005571665,-0.544291354939334,0.0155588534079154,0.340299018826599,-0.482078708251963
01/18/2019,-0.455131172463752,-0.45680270755913,-0.566796427319441,-0.00381144180078031,0.302822238750691,-0.479669986603025
01/25/2019,-0.48314389215463,-0.471471026505657,-0.591273845828912,-0.0239700337056403,0.264928859621733,-0.47774912730294
02/01/2019,-0.509755267145725,-0.487971542178118,-0.616945261298109,-0.0427360182933993,0.228423530581535,-0.476357380519417
02/08/2019,-0.532965405974614,-0.507149541390029,-0.641835344595349,-0.0586599671805535,0.194573518626818,-0.475522427629905
02/15/2019,-0.552834819262726,-0.52939339569015,-0.665559456888866,-0.0708777673721,0.163793967872374,-0.475260438222682
02/22/2019,-0.568854291146464,-0.55037696027151,-0.686241929094395,-0.0798437414904204,0.136292334776437,-0.475579119663693
03/01/2019,-0.580028162201302,-0.565358562367845,-0.702421036597806,-0.0856067242658066,0.111703854101343,-0.476478534944146
03/08/2019,-0.586218864950042,-0.571639062845659,-0.713770028740892,-0.0886442143534505,0.0898727678385132,-0.477951416436157
03/15/2019,-0.590094114539253,-0.572779036967349,-0.721225990730992,-0.0904824457223304,0.0697206101336649,-0.479982412332815
03/22/2019,-0.593316730099049,-0.573193264832001,-0.726575076067518,-0.0916833534827087,0.0509810744970514,-0.482547363134423
03/29/2019,-0.59652124125349,-0.576573501096726,-0.730109152936348,-0.0930547714889853,0.0335800218201743,-0.485615372965885
04/05/2019,-0.601831106049023,-0.584862285130647,-0.733966317490165,-0.0949612175582204,0.0179212837893276,-0.489158286998327
04/12/2019,-0.606813276955669,-0.596012223170267,-0.736967772809555,-0.0965733768001986,0.00488947901749346,-0.493144366134117
04/19/2019,-0.609872861767797,-0.605759796612282,-0.73900901076138,-0.0967654552982268,-0.00446965468731252,-0.497549936062567
04/26/2019,-0.609317111552606,-0.609108991133153,-0.739455757401218,-0.0944175511927578,-0.00971425744101103,-0.50235871058274
05/03/2019,-0.604993918923798,-0.606017528740506,-0.738415714024309,-0.0891258941874962,-0.0107176876832835,-0.507557939274799
05/10/2019,-0.597092357075931,-0.596566184063769,-0.735798718868039,-0.0812768176173065,-0.00760118556919908,-0.513135836957163
